temperature,diversity_penalty,quality_score
100,0,3
100,0,2
100,0,3
100,15,3
100,15,3
100,15,4
100,20,4
100,20,4
100,20,4
150,0,3
150,0,1
150,0,2
150,15,2
150,15,2
150,15,2
150,20,2
150,20,4
150,20,2
180,0,2
180,0,2
180,0,2
180,15,2
180,15,2
180,15,3
180,20,1
180,20,1
180,20,4
50,0,3
50,0,4
50,0,3
50,15,3
50,15,2
50,15,2
50,20,3
50,20,3
50,20,2
100,0,3
100,0,4
100,0,3
100,15,4
100,15,1
100,15,2
100,20,3
100,20,3
100,20,4
150,0,3
150,0,2
150,0,4
150,15,3
150,15,4
150,15,4
150,20,2
150,20,1
150,20,2
180,0,2
180,0,4
180,0,4
180,15,2
180,15,3
180,15,4
180,20,4
180,20,2
180,20,2
50,0,2
50,0,3
50,0,4
50,15,1
50,15,4
50,15,4
50,20,3
50,20,4
50,20,3
100,0,4
100,0,3
100,0,4
100,15,3
100,15,2
100,15,3
100,20,4
100,20,4
100,20,4
150,0,1
150,0,3
150,0,3
150,15,4
150,15,2
150,15,3
150,20,4
150,20,4
150,20,3
180,0,2
180,0,1
180,0,3
180,15,2
180,15,2
180,15,3
180,20,4
180,20,1
180,20,2
50,0,4
50,0,4
50,0,3
50,15,3
50,15,2
50,15,4
50,20,4
50,20,4
50,20,2
