total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1,"

The Gaussian distribution, also known as the normal distribution or bell curve, (named after Carl Friedrich Gauss), plays a vital role in statistics and has far-reaching implications in various fields.",True,0,"5,2",True,1
2,"

The Gaussian distribution, also known as the normal distribution or bell curve, that plays a vital role in statistics!",True,3,"5,2",True,2
3,"

The Gaussian distribution, also known as the normal distribution or bell curve,) is extremely important in statistics and plays a central role in many areas of statistical theory and application.",True,0,"5,2",True,3
4,"

The Gaussian distribution, also known as the normal distribution or bell curve, the most important probability distribution in statistics!",False,,,,4
5,"

The Gaussian distribution, also known as the normal distribution or bell curve, (after Carl Friedrich Gauss), plays a vital role in statistics due to its unique properties and widespread applicability.",True,0,"5,2",True,5
6,"

The Gaussian distribution, also known as the normal distribution or bell curve, (after Carl Friedrich Gauss), is one of the most fundamental and ubiquitous distributions in statistics.",True,0,"5,2",True,6
7,"

The Gaussian distribution, also known as the normal distribution or bell curve, the importance of the Gaussian distribution in statistics cannot be overstated!",True,1,"5,2",True,7
8,"

The Gaussian distribution, also known as the normal distribution or bell curve, in statistics!",True,3,"5,2",True,8
9,"

The Gaussian distribution, also known as the normal distribution or bell curve, (named after Carl Friedrich Gauss), is one of the most important and widely used distributions in statistics.",True,0,"5,2",True,9
10,"

The Gaussian distribution, also known as the normal distribution or bell curve, (named after Carl Friedrich Gauss), plays a vital role in statistics and data analysis.",True,0,"5,2",True,10
11,"

The Gaussian distribution, also known as the normal distribution or bell curve, plays a vital role in statistics and has numerous applications in various fields.",True,0,"5,2",True,11
12,"

The Gaussian distribution, also known as the normal distribution or bell curve, (named after Carl Friedrich Gauss), plays a vital role in statistics and has far-reaching implications in many fields.",True,0,"5,2",True,12
13,"

The Gaussian distribution, also known as the normal distribution or bell curve, plays a vital role in statistics and has numerous applications in various fields.",True,0,"5,2",True,13
14,"

The Gaussian distribution, also known as the normal distribution or bell curve, (after Carl Friedrich Gauss), plays a vital role in statistics due to its numerous desirable properties and widespread applicability.",True,0,"5,2",True,14
15,"

The Gaussian distribution, also known as the normal distribution or bell curve,.",True,3,"5,2",True,15
16,"

The Gaussian distribution, also known as the normal distribution or bell curve, the most important continuous probability distribution in statistics.",True,0,"5,2",True,16
17,"

The Gaussian distribution, also known as the normal distribution or bell curve, a fundamental concept in statistics and probability theory!",True,2,"5,2",True,17
18, Its importance cannot be overstated.,True,5,"5,2",True,1
19," Here are some reasons why:

1.",True,2,"1,4",True,1
20," Here are some reasons why:

1.",True,2,"1,4",True,2
21," Here are some reasons why:

1.",True,2,"1,4",True,3
22," Here are some reasons why:

1.",True,2,"1,4",True,4
23," Here are some reasons why:

1.",True,2,"1,4",True,5
24," Here are some reasons why:

1.",True,2,"1,4",True,6
25," Here are some reasons why:

1.",True,2,"1,4",True,7
26," Here are some reasons why:

1.",True,2,"1,4",True,8
27," Here are some reasons why:

1.",True,2,"1,4",True,9
28," Here are some reasons why:

1.",True,2,"1,4",True,10
29," Here are some reasons why:

1.",True,2,"1,4",True,11
30," Here are some reasons why:

1.",True,2,"1,4",True,12
31," Here are some reasons why:

1.",True,2,"1,4",True,13
32," Here are some reasons why:

1.",True,2,"1,4",True,14
33," Here are some reasons why:

1.",True,2,"1,4",True,15
34," Here are some reasons why:

1.",True,2,"1,4",True,16
35," Here are some reasons why:

1.",True,2,"1,4",True,17
36," Here are some reasons why:

1.",True,2,"1,4",True,18
37," Here are some reasons why:

1.",True,2,"1,4",True,19
38," Here are some reasons why:

1.",True,2,"1,4",True,20
39," Here are some reasons why:

1.",True,2,"1,4",True,21
40," Here are some reasons why:

1.",True,2,"1,4",True,22
41," Here are some reasons why:

1.",True,2,"1,4",True,23
42," Here are some reasons why:

1.",True,2,"1,4",True,24
43," Here are some reasons why:

1.",True,2,"1,4",True,25
44," Here are some reasons why:

1.",True,2,"1,4",True,26
45," Here are some reasons why:

1.",True,2,"1,4",True,27
46," Here are some reasons why:

1.",True,2,"1,4",True,28
47," Here are some reasons why:

1.",True,2,"1,4",True,29
48," Here are some reasons why:

1.",True,2,"1,4",True,30
49," Here are some reasons why:

1.",True,2,"1,4",True,31
50," Here are some reasons why:

1.",True,2,"1,4",True,32
51," Here are some reasons why:

1.",True,2,"1,4",True,33
