total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1," Writing down your numbers every day, managing your medications and dosages, remembering doctor's appointments...it can get overwhelming.

",True,4,"7,2",True,1
2," Not only do you need to remember to take readings regularly, but also record them accurately and consistently.
",True,5,"7,2",True,2
3," Keeping track of your blood sugar levels, insulin dosages, and carb intake can become cumbersome especially if you have to do it manually.",True,0,"7,2",True,3
4," Tracking blood glucose levels, writing down medications and dosages, monitoring food intake and exercise...it's a lot to keep up with.",False,,,,4
5, It involves recording blood glucose levels and medication on paper or using multiple apps.,True,6,"7,2",True,5
6," That's why we have developed a mobile application called DiaCare that helps diabetes patients track their glucose levels and medications.
",True,0,"7,2",True,6
7," You have to keep track of all your medication dosages, blood sugar levels, what you eat and when, exercise routines, doctor’s appointments, and so on.",True,0,"7,2",True,7
8," It requires constant monitoring and recording of blood sugar levels, insulin dosages, food intake, exercise, and other factors that affect glucose levels.
",True,4,"7,2",True,8
9," You have to remember to log your food intake, exercise, and blood glucose levels at the same time every day.",True,4,"7,2",True,9
10," That’s why we created the Diabetes Tracker feature within our mobile app.
",True,0,"7,2",True,10
11," One has to constantly monitor blood sugar levels, log food intake, and keep track of medication schedules.
",True,4,"7,2",True,11
12, One needs to take readings multiple times a day and then record them in a log book or on a spreadsheet.,True,5,"7,2",True,12
13," With constant checks on glucose levels, the need for insulin administration, and the requirement for healthy eating habits, managing the condition can feel overwhelming.
",True,4,"7,2",True,13
14," But technology has come a long way in making tracking easier and more accessible.
",False,,,,14
15," That's why smart apps like Glucophone and mySugr make tracking your blood glucose levels, carbs, and insulin doses a whole lot easier.

",True,0,"7,2",True,15
16," You need to manually record your blood glucose levels, insulin doses, carb counts and more in a logbook or spreadsheet.

",True,0,"7,2",True,16
17," You have to remember to test your blood sugar levels, write down the results, and then manually calculate the carbohydrates you consume at each meal.
",True,0,"7,2",True,17
18," With mySugr, an award-winning app for diabetes management, tracking blood glucose levels and monitoring daily activities becomes easier and more convenient.

",True,0,"7,2",True,18
19," But now, there’s an easier way: meet Glucose Buddy!
",True,6,"7,2",True,19
20," You have to remember to check your blood glucose levels regularly, record the results, and then use that data to adjust your insulin dosage or meal plan.",True,4,"7,2",True,20
21," Logging blood glucose levels, exercise, and food intake can be tedious.",True,4,"7,2",True,21
22," Diabetes apps have simplified this task by providing an easy way to log your readings, track your progress and set reminders for medication and appointments.
",True,0,"7,2",True,22
23," You have to remember to write down all your glucose readings, medication dosages, and what you ate for every meal, every day.",True,0,"7,2",True,23
24," You have to remember to record your glucose levels, carb counts, and medication dosages every day, which can be time-consuming and easy to forget.
",True,0,"7,2",True,24
25," In addition, some studies have shown that only about 30% of patients with diabetes are in good control of their disease, which means there is definitely room for improvement.

",True,4,"7,2",True,25
26," You have to record your blood glucose levels, insulin doses, and other vital signs manually, which can lead to errors or missed entries.
",True,0,"7,2",True,26
27," From checking your blood sugar levels regularly to managing medication and tracking food intake, there's a lot of data to keep on top of.
",True,0,"7,2",True,27
28, You have to write down your blood sugar readings and other important information in a logbook or on a spreadsheet.,True,0,"7,2",True,28
29, I recently stumbled upon an app that makes tracking my diabetes so much easier!,True,0,"7,2",True,29
30," Between remembering to test your blood sugar levels, recording the results, and making adjustments to your diet or medication as needed, it's easy to feel overwhelmed.",True,4,"7,2",True,30
31," You have to remember to test your blood sugar regularly, record the results, and then take action based on those readings.
",True,4,"7,2",True,31
32," Tracking what you eat, when you exercise, and how your levels are doing on a piece of paper or in a spreadsheet can get tedious and make it easy to fall behind.

",True,0,"7,2",True,32
33," That’s why having an app that does everything for you is so helpful.
",True,4,"7,2",True,33
34," There are apps that can help you with tracking your blood glucose levels, insulin doses and even reminders for when you need to take your medication.",True,0,"7,2",True,34
35," It requires constant vigilance and attention to detail, which can be overwhelming for some individuals.

",True,4,"7,2",True,35
36," You have to remember to log your blood sugar levels, carbohydrate intake, and insulin doses throughout the day.",True,4,"7,2",True,36
37," You need to remember to take your blood glucose readings regularly, write them down in a logbook or diary and then make sense of all those numbers to figure out how your body is reacting to food, exercise and medication.

",True,4,"7,2",True,37
38," There are plenty of apps and tools out there that can help make tracking easier, but one app in particular caught our eye - SugarSense.
",True,0,"7,2",True,38
39," That's why technology has come up with ways to make tracking easier and more efficient.
",True,0,"7,2",True,39
40," Diabetes management involves monitoring blood glucose levels, tracking medication and dosages, logging food intake, and managing stress – all while staying organized and on top of your schedule.
",True,5,"7,2",True,40
41," It involves carrying around a small notebook and constantly writing down everything from blood glucose levels to insulin dosages, food consumption, and any physical activity.

",True,4,"7,2",True,41
42," In my case, I have to measure my blood glucose levels multiple times a day and record them in a logbook.",True,4,"7,2",True,42
43, That's where technology steps in to make things easier!,True,6,"7,2",True,43
44," That’s why there are several devices and apps that make tracking glucose levels easier and more efficient.
",False,,,,44
45, You have to constantly monitor your blood glucose levels and write down every single reading in your logbook or journal.,True,4,"7,2",True,45
46," You have to remember to log your blood glucose levels, insulin doses, food intake, and other important details on a daily basis.",True,4,"7,2",True,46
47," That’s why many people with diabetes choose to use apps like mySugr.
",True,0,"7,2",True,47
48," But with the rise of digital technology and artificial intelligence, managing diabetes is becoming more efficient and effective.",False,,,,48
49, That's why we've created Glucose Buddy!,True,4,"7,2",True,49
50," In addition to remembering to take medications and monitor blood glucose levels, there are also doctor's appointments, dietary restrictions, and exercise routines to keep in mind.
",True,4,"7,2",True,50
51," This is where the smart glucometer comes in handy.
",True,4,"7,2",True,51
52," Writing down every blood glucose reading, carbohydrate count, and insulin dose can be overwhelming.",False,,,,52
53," There are so many things to monitor and keep track of: blood glucose levels, medication, exercise, diet, and doctor's appointments, just to name a few.",True,0,"7,2",True,53
54," You need to keep records of your blood sugar readings, medications, exercise and diet.",True,4,"7,2",True,54
55," Forgetting or misplacing readings can lead to inaccurate data and affect overall management.

",True,5,"7,2",True,55
56," You have to remember to record your blood glucose levels, insulin doses, and meals every day, which can get tedious.",True,4,"7,2",True,56
57," From recording blood glucose levels to tracking medications and appointments, there are a lot of details to keep tabs on.",True,0,"7,2",True,57
58," There are numerous apps and devices available that make monitoring blood glucose levels, carbohydrate intake, and medication schedules easier.",True,0,"7,2",True,58
59," And let's be real, who actually enjoys poking themselves with a lancet multiple times a day?
",True,7,"7,2",True,59
60,"Thanks to technology and innovative ideas, there are now gadgets that can make tracking your blood glucose levels so much easier!",True,2,"6,3",True,1
61,"Luckily for us, technology has come a long way in making managing diabetes a whole lot easier!",True,6,"6,3",True,2
62," Here are some amazing advancements that have made a huge difference:

**Continuous Glucose Monitoring (CGM) Systems**

These revolutionary systems allow you to track your glucose levels 24/7 without the need for finger pricking!",True,4,"0,3",True,1
63," From smart meters that talk to your phone to wearable devices that monitor glucose levels continuously, there are now more convenient options than ever before.
",True,4,"0,3",True,2
64, One of the biggest advancements is the development of continuous glucose monitors (CGMs).,True,6,"0,3",True,3
65," From continuous glucose monitors (CGMs) to smart insulin pumps and mobile apps, we've got more tools than ever before to help make life with diabetes a little more manageable.
",False,,,,4
66," Here are some awesome tools that can help you keep track of your diabetes management:

**1.",True,0,"0,3",True,5
67," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and continuously measure your glucose levels throughout the day and night.",True,6,"5,2",True,1
68," Continuous Glucose Monitors (CGMs):**
CGMs like Dexcom G6 or Freestyle Libre track your glucose levels continuously throughout the day and night, giving you a more complete picture of your glucose trends.

",True,6,"5,2",True,2
69," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that you wear on your arm or abdomen which continuously monitors your glucose levels throughout the day and night.",True,6,"5,2",True,3
70," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that's inserted just under your skin, usually on the back of your upper arm.",True,6,"5,2",True,4
71," Continuous Glucose Monitoring (CGM) Systems**

A CGM system is a small device that attaches to your back and tracks your glucose levels continuously throughout the day and night.",True,6,"5,2",True,5
72," Continuous Glucose Monitors (CGMs)**

CGMs are small devices that you wear on your arm or belly button area.",True,6,"5,2",True,6
73," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and provide constant readings of your glucose levels throughout the day.",True,6,"5,2",True,7
74," Continuous Glucose Monitors (CGMs)**

CGMs like the Freestyle Libre or Dexcom G6 monitor your glucose levels 24/7, sending readings to your phone or receiver every 5 minutes.",True,6,"5,2",True,8
75," Continuous Glucose Monitors (CGMs):**
These small devices attach to your skin and provide continuous glucose readings throughout the day and night.",True,6,"5,2",True,9
76," Continuous Glucose Monitors (CGMs):**

These tiny devices stick to your skin and continuously track your glucose levels throughout the day and night.",True,6,"5,2",True,10
77," Continuous Glucose Monitors (CGMs):**
These tiny devices stick to your arm and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,11
78," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your back and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,12
79," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that you wear on your arm which continuously tracks your blood glucose levels throughout the day and night.",True,6,"5,2",True,13
80, Continuous Glucose Monitors (CGMs):** A CGM is a small device that attaches to your skin and continuously tracks your glucose levels throughout the day and night.,True,6,"5,2",True,14
81," Blood Glucose Meters with Bluetooth Connectivity**

Devices like the FreeStyle LibreLink and the OneTouch Verio IQ allow you to wirelessly transfer your blood glucose readings from your meter to your smartphone or tablet.",True,3,"5,2",True,15
82," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that you wear on your arm or abdomen, which continuously tracks your glucose levels throughout the day and night.",True,6,"5,2",True,16
83," Continuous Glucose Monitors (CGMs):**
These devices provide continuous readings of your glucose levels throughout the day and night.",True,6,"5,2",True,17
84," Continuous Glucose Monitors (CGMs):** These tiny devices stick to your skin and monitor your blood glucose levels 24/7, sending the info to your phone or a receiver.",True,6,"5,2",True,18
85," Continuous Glucose Monitors (CGMs)**

These tiny devices attach to your arm and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,19
86," Continuous Glucose Monitors (CGMs):**
These small wearable devices continuously track your glucose levels throughout the day and night, providing real-time data on your glucose trends.",False,,,,20
87," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and track your glucose levels continuously throughout the day and night.",True,6,"5,2",True,21
88," Continuous Glucose Monitors (CGMs):**

A CGM is a small sensor placed under your skin that tracks your glucose levels continuously throughout the day and night.",True,6,"5,2",True,22
89," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that attaches to your skin and continuously monitors your glucose levels throughout the day and night.",True,6,"5,2",True,23
90," Continuous Glucose Monitors (CGMs):**

A CGM is a small device that you wear on your body (usually on your arm) that tracks your glucose levels throughout the day and night.",True,6,"5,2",True,24
91, Continuous Glucose Monitors (CGMs):** A CGM is a small sensor inserted under the skin that tracks glucose levels continuously throughout the day and night.,True,6,"5,2",True,25
92," Continuous Glucose Monitors (CGMs):**
These small devices attach to your arm and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,26
93," Continuous Glucose Monitors (CGMs):**

A CGM is a small sensor placed under the skin that continuously tracks glucose levels and sends data to a receiver or smartphone app.",False,,,,27
94," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your back and track your glucose levels 24/7.",True,6,"5,2",True,28
95," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your back and provide continuous glucose readings throughout the day and night.",True,6,"5,2",True,29
96, Continuous Glucose Monitors (CGMs)**: These small devices attach to your arm and continuously monitor your glucose levels throughout the day and night.,True,6,"5,2",True,30
97," Continuous Glucose Monitors (CGMs)**: A CGM is a small device that's inserted under your skin, usually on your arm or belly button area.",True,6,"5,2",True,31
98," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and measure your glucose levels continuously throughout the day.",True,6,"5,2",True,32
99," Continuous Glucose Monitors (CGMs):**
These small devices attach to your arm and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,33
100," Continuous Glucose Monitors (CGMs):**

A CGM is a small sensor that you insert under your skin, usually on your arm or abdomen.",True,6,"5,2",True,34
101," Continuous Glucose Monitors (CGMs)**

A CGM is a small device that's inserted under your skin, usually on the back of your arm.",True,6,"5,2",True,35
102," Continuous Glucose Monitors (CGMs):**
These devices provide real-time glucose readings throughout the day and night, eliminating the need for finger pricking.",True,6,"5,2",True,36
103," Continuous Glucose Monitors (CGMs):**
CGMs like Dexcom G5 or Freestyle Libre provide real-time glucose readings throughout the day and night.",False,,,,37
104," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,38
105," Continuous Glucose Monitors (CGMs):**
A CGM is a small sensor inserted under your skin that continuously measures your glucose levels and sends the data to your phone or receiver.",False,,,,39
106," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,40
107," Continuous Glucose Monitors (CGMs):**

A CGM is a small device that attaches to your arm and tracks your glucose levels continuously throughout the day and night.",True,6,"5,2",True,41
108," Continuous Glucose Monitors (CGMs):**
These devices provide real-time glucose readings throughout the day and night, giving you a better understanding of how food, exercise, and medication affect your blood sugar levels.

",True,6,"5,2",True,42
109," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your skin and continuously monitor your glucose levels throughout the day and night.",True,6,"5,2",True,43
110," Continuous Glucose Monitors (CGMs):**
A CGM is a tiny device that you wear on your arm or back which continuously tracks your glucose levels throughout the day and night.",True,6,"5,2",True,44
111, Continuous Glucose Monitors (CGMs)**: These devices attach to your skin and continuously monitor your glucose levels throughout the day and night.,True,6,"5,2",True,45
112," Continuous Glucose Monitors (CGMs):**
A CGM is a small device that attaches to your back and continuously tracks your glucose levels throughout the day.",True,6,"5,2",True,46
113," Continuous Glucose Monitors (CGMs)**

These tiny devices sit under your skin and measure your glucose levels 24/7.",True,6,"5,2",True,47
114," Continuous Glucose Monitors (CGMs):**
These tiny devices attach to your arm and continuously monitor your blood glucose levels throughout the day and night, giving you a more complete picture of your glucose trends.

",True,6,"5,2",True,48
115," Continuous Glucose Monitors (CGMs)**

CGMs like Dexcom or Freestyle Libre give you a constant stream of glucose data, so you can see trends and patterns in your levels throughout the day.",True,2,"5,2",True,49
116," No more finger pricking every hour on the hour!

",True,7,"5,2",True,1
117," No more finger pricking!

",True,7,"5,2",True,2
118," No more finger pricking!

",True,7,"5,2",True,3
119," No more finger pricking!

",True,7,"5,2",True,4
120," This means fewer fingerstick tests and more insight into how food, exercise, and medication affect your levels.

",True,5,"5,2",True,5
121,**2.,False,,,,1
122,**2.,False,,,,2
123,**2.,False,,,,3
124,**2.,False,,,,4
125,**2.,False,,,,5
126,**2.,False,,,,6
127,**2.,False,,,,7
128,**2.,False,,,,8
129,**2.,False,,,,9
130,**2.,False,,,,10
131,**2.,False,,,,11
132,**2.,False,,,,12
133,**2.,False,,,,13
134,**2.,False,,,,14
135,**2.,False,,,,15
136,**2.,False,,,,16
137,**2.,False,,,,17
138,**2.,False,,,,18
139,**2.,False,,,,19
140,**2.,False,,,,20
141,**2.,False,,,,21
142,**2.,False,,,,22
143,**2.,False,,,,23
144,**2.,False,,,,24
145,**2.,False,,,,25
146,**2.,False,,,,26
147,**2.,False,,,,27
148,**2.,False,,,,28
149,**2.,False,,,,29
150,**2.,False,,,,30
151,**2.,False,,,,31
152,**2.,False,,,,32
153,**2.,False,,,,33
154,**2.,False,,,,34
155,**2.,False,,,,35
156,**2.,False,,,,36
157,**2.,False,,,,37
158,**2.,False,,,,38
159,**2.,False,,,,39
160,**2.,False,,,,40
