total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1," The mother, who wishes to remain anonymous, gave birth to four boys and two girls at a hospital in Liverpool on March 25.
",True,4,"6,2",True,1
2," The 31-year-old woman, who wishes to remain anonymous, gave birth by caesarean section at the Royal Gwent Hospital in Newport, Wales on Friday morning.",True,1,"6,2",True,2
3," The 30-year-old mother, who has not been named, gave birth to four girls and two boys at a hospital in Birmingham on Friday morning...",True,4,"6,2",True,3
4," The 31-year-old, who has not been named, delivered the babies by caesarean section at Liverpool Women's Hospital on Friday morning.
",True,6,"6,2",True,4
5,"The sextuplets - four boys and two girls - are all in a stable condition, although they are still in intensive care.",True,4,"0,3",True,1
6,"All six babies - four boys and two girls - are said to be doing well and are receiving specialist care in hospital.

",True,4,"0,3",True,2
7,"The babies, four boys and two girls, weighed between 1lb 11oz and 2lb 4oz and are currently being cared for in the hospital's neonatal unit.
",True,4,"0,3",True,3
8,"The babies - four boys and two girls - are all said to be doing well, with three of them requiring oxygen therapy.",True,6,"0,3",True,4
9,"The babies, four boys and two girls, are all said to be doing well and are currently receiving intensive care at the hospital.",True,4,"0,3",True,5
10,The babies - four boys and two girls - weighed between 2lb 10oz and 4lb 6oz.,True,2,"0,3",True,6
11,"The babies, four boys and two girls, weighed between 2lb 1oz and 3lb 8oz each.",True,2,"0,3",True,7
12,"The babies, four boys and two girls, are all reported to be in good health despite being born at just 24 weeks gestation.",True,4,"0,3",True,8
13,The babies - four boys and two girls - are all doing well and are currently in incubators in the hospital's neonatal unit.,True,4,"0,3",True,9
14,"The sextuplets, four boys and two girls, weighed between 1lb 12oz (0.8kg) and 2lb 10oz (1.2kg) each, which is relatively small for babies born at 24 weeks' gestation.
",True,1,"0,3",True,10
15,The mother and her babies - four boys and two girls - are all reported to be doing well.,True,4,"0,3",True,11
16,"The infants, three boys and three girls, are all said to be healthy despite weighing just between 1lb 7oz and 2lb 6oz each.",True,2,"0,3",True,12
17,"The babies - four boys and two girls - weighed between 1lb 12oz (810g) and 2lb 6oz (1.07kg) each and were born at just 24 weeks' gestation.
",True,0,"0,3",True,13
18,"A spokeswoman for Liverpool Women's NHS Foundation Trust said: ""We are delighted to confirm that a local family have welcomed six new additions with the birth of sextuplets.",True,5,"5,2",True,1
19," This is an extremely rare event, and we believe it may be the first time sextuplets have been born in Liverpool.""
",True,1,"1,4",True,1
20,"She added: ""The babies are currently receiving specialist care in our neonatal unit, where they will continue to be closely monitored and cared for by our experienced team of clinicians.""
",True,6,"6,2",True,1
21,"Sextuplets are extremely rare, occurring in only about one in every 13 million births.",True,4,"0,3",True,1
22,"Sextuplets are extremely rare, occurring in only about one in every 13 million births.",True,4,"0,3",True,2
23,"It is estimated that only one in every 13 million births result in sextuplets, making this occurrence incredibly rare.

",False,,,,3
24,"Dr Donald Peebles, president of the Royal College of Obstetricians and Gynaecologists, said: ""Sextuplets are extremely rare, and this is a remarkable occurrence.",False,,,,4
25,"Sextuplets are extremely rare, occurring in about one in every 13 million births.",True,4,"0,3",True,5
26,"Sextuplets are extremely rare, occurring in about one in every 13 million births worldwide.",True,4,"0,3",True,6
27,"The mother is also being cared for by medical staff, but her condition is described as stable.

",True,4,"0,3",True,7
28,"Dr Ravi Gowda, a consultant obstetrician and gynaecologist at Liverpool Women's Hospital, said: ""This is a truly remarkable event, and we are thrilled that the mother and her babies are doing well considering their early arrival.
",True,4,"0,3",True,8
