total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1,"

Here is the standard procedure for administering a flu vaccine:

I. Preparation

* Verify the patient's identity and ensure they have no contraindications to receiving the flu vaccine.
",True,6,"0,3",False,1
2,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,2
3,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Ensure the vaccine is stored at the correct temperature (typically 2°C to 8°C) and has not expired.
",True,5,"0,3",False,3
4,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Verify the patient's identity and ensure they have given informed consent to receive the vaccine.
",True,6,"0,3",False,4
5,"

Here is the standard procedure for administering a flu vaccine:

**I. Pre-Vaccination Preparation**

1. **Verify patient identity**: Confirm the patient's name, for accurate documentation.
",True,6,"0,3",False,5
6,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Ensure the patient's medical history and allergies are reviewed and updated.
",False,,,,6
7,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Ensure the patient has read and signed a consent form, the vaccination.
",True,4,"0,3",False,7
8,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Review the patient's medical history and allergy status to ensure they can receive the flu vaccine.
",False,,,,8
9,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,9
10,"

Here is the standard procedure for administering a flu vaccine:

**I. Pre-Vaccination**

1. **Screening**: Check the patient's medical history, it to ensure they don't have any contraindications to receiving the flu vaccine.
",True,7,"0,3",False,10
11,"

Here is the standard procedure for administering a flu vaccine:

**I. Pre-Vaccination**

1. **Screening**: Review the patient's medical history, of any allergies, with special attention to egg allergy (since most flu vaccines are grown in eggs).
",True,5,"0,3",False,11
12,"

Here is the standard procedure for administering a flu vaccine:

**I. Pre-Vaccination Preparation**

1. **Verify patient identity**: Confirm the patient's identity and ensure they have an appointment or are scheduled to receive the flu vaccine.
",True,6,"0,3",False,12
13,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,13
14,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,14
15,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Ensure the patient has signed a consent form and has been screened for contraindications to the vaccine.
",True,4,"0,3",False,15
16,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,16
17,"

Here is the standard procedure for administering a flu vaccine:

**Pre-Vaccination Procedures:**

1. **Screening and Consent**: 
	* Review the patient's medical history, a contraindications to ensure they can receive the flu vaccine.
	",True,7,"0,3",False,17
18,"

Here is the standard procedure for administering a flu vaccine:

**Pre-Vaccination Procedures:**

1. **Patient Screening:** Verify the patient's identity, (name, an birthdate) and review their medical history to ensure they are eligible for the flu vaccine.
",True,6,"0,3",False,18
19,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,19
20,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

1.",True,6,"0,3",False,20
21,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Verify the patient's identity and confirm their eligibility for the flu vaccine.
",True,6,"0,3",False,21
22,"

Here is the standard procedure for administering a flu vaccine:

**I. Preparation**

* Ensure the vaccination area is clean, aseptic and well-ventilated.
",True,6,"0,3",False,22
