temperature,diversity_penalty,z_score,time_taken
100,15,4.34086826048683,1677.7437555789948
100,15,1.7614096918559585,1503.5896730422974
100,15,2.100420126042015,1644.1519589424133
100,20,2.7774602993176543,1278.6146717071533
100,20,2.3094010767585034,1773.1353068351746
100,20,3.682947537517004,998.7692532539368
100,5,2.1602468994692865,1835.2644317150116
100,5,0.7453559924999299,4280.086268663406
100,5,2.2517050070105746,1926.2901365756989
130,15,4.323064756499593,1021.2478551864624
130,15,2.6605321596532185,1970.6250851154327
130,15,2.7774602993176543,1256.6974468231201
130,20,3.394673699166022,1079.6274344921112
130,20,4.011887099014389,1139.376614332199
130,20,3.7267799624996494,1376.1472294330597
130,5,2.449489742783178,2134.6600835323334
130,5,2.581988897471611,1675.2950503826141
130,5,3.682947537517004,1028.904319524765
170,15,4.618802153517007,1438.4814283847809
170,15,3.780756226875626,1829.067997455597
170,15,3.65655170486763,729.1119239330292
170,20,4.666666666666667,1026.1097190380096
170,20,5.048252022715237,991.7076811790466
170,20,5.773502691896258,861.4872341156006
170,5,5.246313898711125,729.4933469295502
170,5,4.963972767957701,859.298481464386
170,5,3.780756226875626,1209.1825850009918
100,15,2.7774602993176543,964.4103050231934
100,15,4.0,647.6989421844482
100,15,4.6291004988627575,905.0235567092896
100,20,5.246313898711125,574.2405924797058
100,20,4.351941398892446,521.0441610813141
100,20,4.0,561.192640542984
100,5,3.3333333333333335,642.6603600978851
100,5,2.0,1028.9077525138855
100,5,3.682947537517004,688.2735304832458
130,15,3.2659863237109046,635.8948440551758
130,15,4.666666666666667,468.97774934768677
130,15,3.3333333333333335,708.2981593608856
130,20,4.426352063787131,398.96503829956055
130,20,4.0,712.4222640991211
130,20,3.299831645537222,339.37885665893555
130,5,3.6556307750696546,587.5807132720947
130,5,4.963972767957701,655.537761926651
130,5,2.556038601690775,639.0930836200714
170,15,4.426352063787131,580.8498826026917
170,15,4.08248290463863,423.49061918258667
170,15,5.333333333333333,844.674299955368
170,20,4.666666666666667,595.7234237194061
170,20,4.351941398892446,503.39707231521606
170,20,2.8867513459481287,580.294561624527
170,5,2.556038601690775,1072.4220061302185
170,5,4.963972767957701,646.2863001823425
170,5,3.65655170486763,584.9384298324585
100,15,5.196152422706632,382.7052125930786
100,15,5.744562646538029,432.80799293518066
100,15,4.08248290463863,747.1090114116669
100,20,5.196152422706632,471.41308665275574
100,20,5.196152422706632,562.6649634838104
100,20,4.58257569495584,359.88013458251953
100,5,4.898979485566357,359.7813289165497
100,5,6.244997998398398,529.2462980747223
100,5,4.016632088371218,962.1257739067078
130,15,5.196152422706632,500.62060952186584
130,15,5.744562646538029,407.505047082901
130,15,5.744562646538029,495.11380434036255
130,20,4.74692883171144,677.5519659519196
130,20,5.196152422706632,412.75376892089844
130,20,4.016632088371218,564.0229482650757
130,5,5.196152422706632,502.67976212501526
130,5,4.898979485566357,388.80675864219666
130,5,5.196152422706632,425.6978418827057
170,15,4.898979485566357,505.71263217926025
170,15,4.58257569495584,512.6237697601318
170,15,5.196152422706632,400.3920135498047
170,20,4.242640687119286,384.8035957813263
170,20,4.898979485566357,360.6164653301239
170,20,4.898979485566357,392.27106761932373
170,5,4.58257569495584,451.9296329021454
170,5,4.58257569495584,473.8759915828705
170,5,5.477225575051661,509.0207040309906
